"年度","地区","国家","服务分类","各国销售额","销售增长率","各国利润","利润增长率"
"2018","Northern","Tunisia","Residential",1305.76,0,85.99,0
"2019","Northern","Tunisia","Residential",0,-1,0,1
"2020","Northern","Tunisia","Residential",860.5,0,37.17,0
"2017","Northern","Western Sahara","Commercial",601.87,0,60.19,0
"2018","Northern","Western Sahara","Commercial",1824.03,2.03060461561467,40.43,0.32829373650108
"2019","Northern","Western Sahara","Commercial",0,-1,0,1
"2020","Northern","Western Sahara","Commercial",91.21,0,-1.82,0
"2017","Northern","Western Sahara","Public",1499.01,0,97.31,0
"2018","Northern","Western Sahara","Public",0,-1,0,1
"2019","Northern","Western Sahara","Public",514.71,0,7.25,0
"2020","Northern","Western Sahara","Public",561.07,0.0900701365817645,28.05,-2.86896551724138
"2017","Northern","Western Sahara","Residential",235.84,0,-2.36,0
"2018","Northern","Western Sahara","Residential",216.43,-0.0823015603799186,-10.82,-3.58474576271187
"2019","Northern","Western Sahara","Residential",1147.82,4.30342373977729,34.6,4.19778188539741
"2020","Northern","Western Sahara","Residential",468.4,-0.591922078374658,17.22,0.502312138728324
"2017","Southern","Botswana","Commercial",2488.64,0,174.11,0
"2018","Southern","Botswana","Commercial",0,-1,0,1
"2019","Southern","Botswana","Commercial",471.08,0,0,0
"2020","Southern","Botswana","Commercial",540.78,0.147957884011208,37.38,0
"2017","Southern","Botswana","Public",0,0,0,0
"2018","Southern","Botswana","Public",627.64,0,19.91,0
"2019","Southern","Botswana","Public",800.32,0.275125868332165,-48.02,3.41185334003014
"2020","Southern","Botswana","Public",544.5,-0.319647141143543,-27.23,0.432944606413994
"2017","Southern","Botswana","Residential",114.52,0,-3.44,0
"2018","Southern","Botswana","Residential",1383.37,11.0797240656654,70.28,21.4302325581395
"2019","Southern","Botswana","Residential",231.01,-0.83300924553807,-0.88,1.01252134319863
"2020","Southern","Botswana","Residential",731.77,2.16769836803602,-58.54,-65.5227272727273
"2017","Southern","Lesotho","Commercial",671.08,0,46.02,0
"2018","Southern","Lesotho","Commercial",1113.23,0.658863324789891,48.86,-0.0617122990004345
"2019","Southern","Lesotho","Commercial",769.9,-0.308408864295788,31.53,0.354686860417519
"2020","Southern","Lesotho","Commercial",1199.38,0.557838680348097,46.54,-0.476054551221059
"2017","Southern","Lesotho","Public",1091.71,0,58.2,0
"2018","Southern","Lesotho","Public",635.88,-0.417537624460708,-50.87,1.87405498281787
"2019","Southern","Lesotho","Public",0,-1,0,1
"2020","Southern","Lesotho","Public",318.66,0,25.49,0
"2017","Southern","Lesotho","Residential",0,0,0,0
"2018","Southern","Lesotho","Residential",122.51,0,-7.35,0
"2019","Southern","Lesotho","Residential",969.09,6.91029303730308,94.27,13.8258503401361
"2020","Southern","Lesotho","Residential",526.93,-0.456263092179261,-26.35,1.27951628301687
"2017","Southern","Namibia","Commercial",0,0,0,0
"2018","Southern","Namibia","Commercial",84.09,0,-2.52,0
"2019","Southern","Namibia","Commercial",927.03,10.0242597217267,46.35,19.3928571428571
"2020","Southern","Namibia","Commercial",978.37,0.0553811635006419,39.13,0.155771305285868
"2017","Southern","Namibia","Public",659.86,0,-6.6,0
"2018","Southern","Namibia","Public",789.26,0.196102203497712,-27.34,-3.14242424242424
"2019","Southern","Namibia","Public",0,-1,0,1
"2020","Southern","Namibia","Public",951.26,0,95.13,0
"2017","Southern","Namibia","Residential",1621.45,0,-1.23,0
"2018","Southern","Namibia","Residential",234.66,-0.855277683554843,0,1
"2019","Southern","Namibia","Residential",1937.6,7.2570527571806,-31.62,0
"2020","Southern","Namibia","Residential",721.88,-0.627436003303055,-34.86,-0.102466793168881
"2017","Southern","South Africa","Commercial",1629.68,0,73.72,0
"2018","Southern","South Africa","Commercial",3558.94,1.18382749987728,101.72,-0.379815518176886
"2019","Southern","South Africa","Commercial",3368.6,-0.0534822166150596,-11.48,1.11285882815572
"2020","Southern","South Africa","Commercial",3566,0.0586000118743692,-130.35,-10.3545296167247
"2017","Southern","South Africa","Public",2669.95,0,173.53,0
"2018","Southern","South Africa","Public",2302.07,-0.137785351785614,1.01,0.994179680746845
"2019","Southern","South Africa","Public",771.25,-0.664975435151842,-15.43,16.2772277227722
"2020","Southern","South Africa","Public",2606.37,2.37941004862237,124.53,9.07064160725859
"2017","Southern","South Africa","Residential",4843.61,0,-139.49,0
"2018","Southern","South Africa","Residential",4780.49,-0.0130316024618002,245.48,2.75983941501183
"2019","Southern","South Africa","Residential",4804.55,0.00503295687262193,-18.7,1.07617728531856
"2020","Southern","South Africa","Residential",1798.82,-0.625600732638853,-6.31,0.662566844919786
"2017","Southern","Swaziland","Commercial",0,0,0,0
"2018","Southern","Swaziland","Commercial",0,0,0,0
"2019","Southern","Swaziland","Commercial",0,0,0,0
"2020","Southern","Swaziland","Commercial",1168.69,0,49.58,0
"2017","Southern","Swaziland","Public",1460.45,0,9.44,0
"2018","Southern","Swaziland","Public",1446.59,-0.0094902256153926,130.19,-12.791313559322
"2019","Southern","Swaziland","Public",0,-1,0,1
"2020","Southern","Swaziland","Public",0,0,0,0
"2017","Southern","Swaziland","Residential",1345.6,0,-59.56,0
"2018","Southern","Swaziland","Residential",1293.52,-0.0387039239001189,97,2.62860980523841
"2019","Southern","Swaziland","Residential",1707.73,0.320219246706661,20.03,0.793505154639175
"2020","Southern","Swaziland","Residential",997.44,-0.415926405227993,-55.76,3.78382426360459
"2017","Western","Benin","Commercial",2099.6,0,46.72,0
"2018","Western","Benin","Commercial",2179.07,0.0378500666793676,-35.12,1.75171232876712
"2019","Western","Benin","Commercial",2056.53,-0.0562349993345787,19.07,1.54299544419134
"2020","Western","Benin","Commercial",1303.14,-0.366340388907529,-2.69,1.14105925537493
"2017","Western","Benin","Public",1726.25,0,-36.99,0
"2018","Western","Benin","Public",902.23,-0.477346850108617,55.92,2.5117599351176
"2019","Western","Benin","Public",0,-1,0,1
"2020","Western","Benin","Public",934.94,0,-74.8,0
"2017","Western","Benin","Residential",1282.29,0,88.48,0
"2018","Western","Benin","Residential",343.36,-0.732229058949224,27.47,0.689534358047016
"2019","Western","Benin","Residential",1894.26,4.51683364398882,91.12,-2.31707317073171
"2020","Western","Benin","Residential",2258.29,0.192175308563766,-20.36,1.22344161545215
"2017","Western","Burkina Faso","Commercial",745.22,0,-29.81,0
"2018","Western","Burkina Faso","Commercial",953.96,0.280105203832425,28.62,1.96008050989601
"2019","Western","Burkina Faso","Commercial",689.55,-0.277170950563965,7.39,0.741788958770091
"2020","Western","Burkina Faso","Commercial",524.68,-0.239097962439272,-26.23,4.54939106901218
"2017","Western","Burkina Faso","Public",951.96,0,7.7,0
"2018","Western","Burkina Faso","Public",1603.14,0.684041346275053,70.81,-8.1961038961039
"2019","Western","Burkina Faso","Public",1663.28,0.0375138790124382,-31.2,1.44061573224121
"2020","Western","Burkina Faso","Public",1173.28,-0.294598624404791,-63.3,-1.02884615384615
"2017","Western","Burkina Faso","Residential",638.38,0,-6.38,0
"2018","Western","Burkina Faso","Residential",960.39,0.504417431623798,-76.83,-11.0423197492163
"2019","Western","Burkina Faso","Residential",0,-1,0,1
"2020","Western","Burkina Faso","Residential",117.52,0,8.23,0
"2017","Western","Cote d'Ivoire","Commercial",1322.69,0,-29.23,0
"2018","Western","Cote d'Ivoire","Commercial",3010.93,1.27636861244887,-105.07,-2.59459459459459
"2019","Western","Cote d'Ivoire","Commercial",3165.88,0.0514625049403341,-65.72,0.374512229941943
"2020","Western","Cote d'Ivoire","Commercial",598.04,-0.811098336007682,18.74,1.28514911746805
"2017","Western","Cote d'Ivoire","Public",860.86,0,10.55,0
"2018","Western","Cote d'Ivoire","Public",87.93,-0.897857955997491,5.28,0.499526066350711
"2019","Western","Cote d'Ivoire","Public",1526.07,16.3555100648243,-32.34,7.125
"2020","Western","Cote d'Ivoire","Public",1051.01,-0.311296336341059,-13.74,0.575139146567718
"2017","Western","Cote d'Ivoire","Residential",2439.63,0,-125.15,0
"2018","Western","Cote d'Ivoire","Residential",625.41,-0.743645552809237,30.62,1.24466640031962
"2019","Western","Cote d'Ivoire","Residential",743.91,0.189475703938216,74.39,-1.42945787067276
"2020","Western","Cote d'Ivoire","Residential",2635.48,2.54274038526166,116.65,-0.568087108482323
"2017","Western","Ghana","Commercial",602.79,0,-7.31,0
"2018","Western","Ghana","Commercial",1360.73,1.25738648617263,29.85,5.08344733242134
"2019","Western","Ghana","Commercial",1513.49,0.11226327045042,-71.17,3.38425460636516
"2020","Western","Ghana","Commercial",737.77,-0.512537248346537,6.12,1.08599128846424
"2017","Western","Ghana","Public",974.04,0,49.92,0
"2018","Western","Ghana","Public",1013.9,0.0409223440515791,99.04,-0.983974358974359
"2019","Western","Ghana","Public",1789.12,0.764592168852944,99.54,-0.00504846526655897
"2020","Western","Ghana","Public",1650.37,-0.0775520926489,53.49,0.462628089210368
"2017","Western","Ghana","Residential",2028.62,0,-67.45,0
"2018","Western","Ghana","Residential",1705.16,-0.159448294899981,-3.46,0.948702742772424
"2019","Western","Ghana","Residential",1264.94,-0.258169321354008,-35.3,-9.20231213872832
"2020","Western","Ghana","Residential",1445.4,0.142662893101649,47.53,2.34645892351275
"2017","Western","Guinea","Commercial",291.86,0,-17.51,0
"2018","Western","Guinea","Commercial",1054.49,2.61299938326595,-43.43,-1.48029697315819
"2019","Western","Guinea","Commercial",0,-1,0,1
"2020","Western","Guinea","Commercial",963.88,0,3.92,0
"2017","Western","Guinea","Public",1025.36,0,45.5,0
"2018","Western","Guinea","Public",0,-1,0,1
"2019","Western","Guinea","Public",2399.3,0,-30.38,0
"2020","Western","Guinea","Public",660.24,-0.724819739090568,-24.92,0.179723502304147
"2017","Western","Guinea","Residential",0,0,0,0
"2018","Western","Guinea","Residential",197.63,0,1.98,0
"2019","Western","Guinea","Residential",0,-1,0,1
"2020","Western","Guinea","Residential",0,0,0,0
"2017","Western","Guinea-Bissau","Commercial",28.16,0,0.28,0
"2018","Western","Guinea-Bissau","Commercial",861.5,29.5930397727273,60.31,-214.392857142857
"2019","Western","Guinea-Bissau","Commercial",1212.28,0.407173534532792,-43.92,1.72823743989388
"2020","Western","Guinea-Bissau","Commercial",1204.73,-0.00622793414062754,44.58,2.01502732240437
"2017","Western","Guinea-Bissau","Public",812.02,0,40.6,0
"2018","Western","Guinea-Bissau","Public",1175.9,0.448117041452181,14.34,0.64679802955665
"2019","Western","Guinea-Bissau","Public",223.93,-0.809567140062931,4.48,0.687587168758717
"2020","Western","Guinea-Bissau","Public",0,-1,0,1
"2017","Western","Guinea-Bissau","Residential",1342.32,0,77.18,0
"2018","Western","Guinea-Bissau","Residential",0,-1,0,1
"2019","Western","Guinea-Bissau","Residential",0,0,0,0
"2020","Western","Guinea-Bissau","Residential",53.89,0,4.31,0
"2017","Western","Liberia","Commercial",301.63,0,-9.05,0
"2018","Western","Liberia","Commercial",0,-1,0,1
"2019","Western","Liberia","Commercial",580.63,0,-11.62,0
"2020","Western","Liberia","Commercial",239.28,-0.587895906170883,-4.79,0.587779690189329
"2017","Western","Liberia","Public",78.12,0,-5.47,0
"2018","Western","Liberia","Public",778.49,8.96530977982591,54.49,10.9616087751371
"2019","Western","Liberia","Public",685.47,-0.119487726239258,-47.98,1.8805285373463
"2020","Western","Liberia","Public",0,-1,0,1
"2017","Western","Liberia","Residential",1417,0,-60.79,0
"2018","Western","Liberia","Residential",921.03,-0.350014114326041,-73.68,-0.212041454186544
"2019","Western","Liberia","Residential",306.96,-0.666720953714863,9.21,1.125
"2020","Western","Liberia","Residential",1323.73,3.31238597862914,16.25,-0.764386536373507
"2017","Western","Mali","Commercial",0,0,0,0
"2018","Western","Mali","Commercial",305.74,0,-9.17,0
"2019","Western","Mali","Commercial",1491.02,3.87675802969844,-76.54,-7.34678298800436
"2020","Western","Mali","Commercial",1332.44,-0.106356722243833,35.35,1.46185001306506
"2017","Western","Mali","Public",340.24,0,-22.83,0
"2018","Western","Mali","Public",0,-1,0,1
"2019","Western","Mali","Public",0,0,0,0
"2020","Western","Mali","Public",93.81,0,-2.81,0
"2017","Western","Mali","Residential",1248.72,0,10.21,0
"2018","Western","Mali","Residential",1156.84,-0.0735793452495354,64.73,-5.33986287952987
"2019","Western","Mali","Residential",242.66,-0.790238926731441,19.41,0.700139039085432
"2020","Western","Mali","Residential",21.08,-0.913129481579164,-1.26,1.06491499227202
"2017","Western","Mauritania","Commercial",573.76,0,-34.43,0
"2018","Western","Mauritania","Commercial",1061.15,0.849466675962075,63.49,2.84403136799303
"2019","Western","Mauritania","Commercial",356.89,-0.663676200348678,-17.84,1.28098913214679
"2020","Western","Mauritania","Commercial",1434.54,3.01955784695564,119.94,7.72309417040359
"2017","Western","Mauritania","Public",1049.89,0,71.38,0
"2018","Western","Mauritania","Public",347.85,-0.668679575955576,-13.91,1.19487251330905
"2019","Western","Mauritania","Public",630.95,0.813856547362369,6.31,1.45363048166786
"2020","Western","Mauritania","Public",871.54,0.381313891750535,-17.43,3.76228209191759
"2017","Western","Mauritania","Residential",0,0,0,0
"2018","Western","Mauritania","Residential",702.51,0,21.08,0
"2019","Western","Mauritania","Residential",1093.8,0.556988512619038,63.05,-1.99098671726755
"2020","Western","Mauritania","Residential",949.73,-0.131715121594442,37.99,0.39746233148295
"2017","Western","Niger","Commercial",59.99,0,-4.8,0
"2018","Western","Niger","Commercial",1925.54,31.0976829471579,-57.69,-11.01875
"2019","Western","Niger","Commercial",389.73,-0.797599634388276,-15.59,0.729762523834287
"2020","Western","Niger","Commercial",1713.49,3.3966079080389,-6.77,0.565747273893522
"2017","Western","Niger","Public",993.01,0,-30.17,0
"2018","Western","Niger","Public",0,-1,0,1
"2019","Western","Niger","Public",1409.94,0,-44.51,0
"2020","Western","Niger","Public",812.17,-0.423968395818262,-64.97,-0.45967198382386
"2017","Western","Niger","Residential",3.3,0,-0.03,0
"2018","Western","Niger","Residential",983.64,297.072727272727,22.51,751.333333333334
"2019","Western","Niger","Residential",346.72,-0.647513317880525,-17.34,1.77032430031097
"2020","Western","Niger","Residential",945.62,1.72733041070604,0,1
"2017","Western","Nigeria","Commercial",2367.86,0,5.38,0
"2018","Western","Nigeria","Commercial",1792.54,-0.242970445887848,71.18,-12.2304832713755
"2019","Western","Nigeria","Commercial",1288.76,-0.281042542983699,-45.1,1.63360494520933
"2020","Western","Nigeria","Commercial",2333.64,0.81076383500419,72.04,2.59733924611973
"2017","Western","Nigeria","Public",3478.36,0,-134.62,0
"2018","Western","Nigeria","Public",3553.8,0.0216883818811164,-45.51,0.661937305006686
"2019","Western","Nigeria","Public",2792.57,-0.214201699589172,-21.97,0.517248956273347
"2020","Western","Nigeria","Public",2778.66,-0.00498107478057857,40,2.82066454255803
"2017","Western","Nigeria","Residential",3481.12,0,29.4,0
"2018","Western","Nigeria","Residential",1271.77,-0.634666429195202,24.11,0.179931972789116
"2019","Western","Nigeria","Residential",1765.77,0.388435015765429,52.93,-1.19535462463708
"2020","Western","Nigeria","Residential",3075.46,0.741710415286249,39.4,0.255620631022105
"2017","Western","Senegal","Commercial",470.26,0,11.77,0
"2018","Western","Senegal","Commercial",1295.3,1.75443371751797,-54.61,5.63976210705183
"2019","Western","Senegal","Commercial",893.17,-0.310453176870223,53.59,1.98132210217909
"2020","Western","Senegal","Commercial",606.56,-0.320890759877739,29.79,0.444112707594701
"2017","Western","Senegal","Public",0,0,0,0
"2018","Western","Senegal","Public",890.82,0,-71.27,0
"2019","Western","Senegal","Public",515.84,-0.420938012168564,38.74,1.54356671811421
"2020","Western","Senegal","Public",0,-1,0,1
"2017","Western","Senegal","Residential",469.98,0,13.2,0
"2018","Western","Senegal","Residential",0,-1,0,1
"2019","Western","Senegal","Residential",0,0,0,0
"2020","Western","Senegal","Residential",300.64,0,6.01,0
"2017","Western","Sierra Leone","Commercial",695.88,0,-13.92,0
"2018","Western","Sierra Leone","Commercial",1432.97,1.0592199804564,58.85,5.22772988505747
"2019","Western","Sierra Leone","Commercial",845.73,-0.409806206689603,-33.14,1.56312659303314
"2020","Western","Sierra Leone","Commercial",0,-1,0,1
"2017","Western","Sierra Leone","Public",238.65,0,2.39,0
"2018","Western","Sierra Leone","Public",0,-1,0,1
"2019","Western","Sierra Leone","Public",891.68,0,-8.92,0
"2020","Western","Sierra Leone","Public",1293.56,0.450699802619774,-15.37,-0.723094170403588
"2017","Western","Sierra Leone","Residential",1213.31,0,-6.03,0
"2018","Western","Sierra Leone","Residential",364.23,-0.699804666573258,0,1
"2019","Western","Sierra Leone","Residential",0,-1,0,0
"2020","Western","Sierra Leone","Residential",117.12,0,-1.17,0
"2017","Western","Togo","Commercial",1457.72,0,-53.69,0
"2018","Western","Togo","Commercial",290.18,-0.800935707817688,-2.29,0.957347737008754
"2019","Western","Togo","Commercial",660.33,1.27558756633814,-19.81,-7.65065502183406
"2020","Western","Togo","Commercial",0,-1,0,1
"2017","Western","Togo","Public",155.31,0,4.66,0
"2018","Western","Togo","Public",0,-1,0,1
"2019","Western","Togo","Public",875.44,0,-43.77,0
"2020","Western","Togo","Public",1467.39,0.676174266654482,-41.51,0.0516335389536213
"2017","Western","Togo","Residential",326.97,0,22.89,0
"2018","Western","Togo","Residential",294.32,-0.0998562559256202,23.22,-0.0144167758846657
"2019","Western","Togo","Residential",721.02,1.44978254960587,40.2,-0.731266149870801
"2020","Western","Togo","Residential",440.08,-0.389642450972234,-17.6,1.43781094527363
